                                                        CANALES
========================================================================================================================
               FECHA                                  CODIGO                                  RATING
------------------------------------------------------------------------------------------------------------------------
             19/06/2022                               X5514                                    2.50
             21/02/2023                               S6846                                    4.80
             06/01/2022                               G2281                                    3.93
             02/12/2021                               E6696                                    3.39
             19/11/2021                               T7033                                    1.62
             07/09/2021                               A8213                                    1.62
             28/12/2022                               N1424                                    1.23
             04/05/2021                               F5935                                    4.46
             15/06/2021                               L3072                                    3.40
             23/12/2022                               A8576                                    3.83
             15/08/2023                               T8408                                    1.08
             22/07/2023                               L3779                                    4.88
             02/05/2023                               R8802                                    4.33
             23/06/2022                               R4559                                    1.85
             06/02/2021                               A7791                                    1.73
             21/05/2023                               M8346                                    1.73
             12/09/2022                               S4746                                    2.22
             17/07/2021                               H3032                                    3.10
             02/06/2022                               A9040                                    2.73
             15/11/2022                               C7146                                    2.16
             23/01/2021                               L9091                                    3.45
             11/01/2022                               L6282                                    1.56
             21/10/2023                               C7601                                    2.17
             11/11/2021                               D8331                                    2.47
             28/10/2023                               T9764                                    2.82
             05/03/2021                               T3948                                    4.14
             08/03/2022                               Y8760                                    1.80
             14/09/2023                               P7271                                    3.06
             03/03/2021                               H1291                                    3.37
             11/02/2022                               G2582                                    1.19
             23/08/2022                               S1310                                    3.43
             21/09/2023                               G9798                                    1.68
             06/10/2023                               M1509                                    1.26
             14/02/2022                               D5578                                    4.80
             25/11/2021                               O5486                                    4.86
             07/05/2023                               M3519                                    4.23
             03/12/2021                               E5929                                    2.22
             03/12/2023                               N4419                                    1.39
             03/08/2021                               L1579                                    3.74
             22/07/2021                               D8455                                    2.76
             03/07/2022                               F4264                                    1.49
             26/07/2023                               L7011                                    2.98
             05/11/2023                               R8400                                    1.14
             20/02/2022                               I1429                                    4.64
             19/01/2023                               T3388                                    2.04
             09/11/2023                               S5697                                    3.65
             23/11/2023                               L3977                                    2.25
             05/07/2022                               Y6400                                    3.08
             06/06/2023                               H8371                                    3.19
             07/11/2023                               B5216                                    1.74
             09/09/2021                               D5405                                    4.88
             16/02/2021                               B7744                                    4.10
             04/06/2021                               R3240                                    4.76
             28/01/2021                               C8596                                    4.58
             28/05/2022                               C7100                                    3.39
             22/01/2023                               G6496                                    4.69
             04/11/2022                               S1190                                    1.35
             19/03/2023                               N4181                                    1.78
             16/01/2023                               R8170                                    1.18
             28/05/2023                               J3324                                    2.30
             25/12/2022                               S7241                                    2.55
             27/02/2022                               O4446                                    2.09
             07/06/2022                               A6986                                    4.31
             28/07/2022                               Q1190                                    2.43
             22/12/2022                               T2200                                    2.12
             17/01/2023                               D5218                                    3.17
             19/10/2021                               S3642                                    1.56
             25/04/2021                               N2362                                    4.21
             10/06/2023                               F8545                                    1.30
             23/10/2023                               L7416                                    4.95
             13/12/2021                               V7711                                    4.09
             28/07/2022                               F7849                                    1.79
             13/10/2022                               P2391                                    1.02
             09/11/2021                               S3140                                    4.26
             08/06/2023                               S8567                                    3.83
             15/05/2022                               D4404                                    3.92
             15/10/2021                               M9510                                    4.09
             16/01/2021                               R5631                                    1.30
             06/12/2022                               S3421                                    2.43
             26/12/2021                               M8596                                    1.46
             23/01/2021                               T9012                                    4.45
             10/10/2022                               D7358                                    3.49
             12/12/2023                               G2937                                    2.32
             04/08/2023                               S2467                                    1.25
             18/05/2021                               Z5539                                    2.24
             27/04/2022                               S2804                                    2.30
             15/08/2022                               S3053                                    3.92
             27/11/2021                               D6138                                    3.55
             13/11/2023                               S5888                                    4.55
             01/10/2022                               A1911                                    2.89
             10/11/2023                               P1205                                    1.48
             06/08/2023                               L6570                                    3.85
             17/05/2022                               Y3725                                    4.04
             09/06/2022                               M9840                                    3.25
             18/12/2021                               N4286                                    4.08
             24/06/2023                               E6341                                    2.98
             24/04/2021                               S1460                                    3.09
             10/11/2023                               N1264                                    2.71
             13/12/2023                               B5019                                    1.10
             14/11/2021                               S1339                                    1.43
             01/02/2022                               B5009                                    1.13
             17/08/2022                               T1252                                    3.55
             17/03/2022                               W4995                                    2.26
