                                                      ETIQUETAS
========================================================================================================================
                        CODIGO                                                    DURACION
------------------------------------------------------------------------------------------------------------------------
                        165107                                                    00:03:00
                        531159                                                    00:03:00
                        413164                                                    00:02:59
                        678119                                                    00:02:58
                        726131                                                    00:02:56
                        461163                                                    00:02:54
                        914103                                                    00:02:54
                        450161                                                    00:02:53
                        977179                                                    00:02:53
                        704111                                                    00:02:51
                        610128                                                    00:02:51
                        294188                                                    00:02:48
                        784162                                                    00:02:47
                        929142                                                    00:02:46
                        394137                                                    00:02:45
                        254145                                                    00:02:43
                        276198                                                    00:02:43
                        125190                                                    00:02:40
                        175109                                                    00:02:40
                        401166                                                    00:02:34
                        576104                                                    00:02:32
                        532197                                                    00:02:25
                        684170                                                    00:02:25
                        242173                                                    00:02:24
                        103172                                                    00:02:19
                        927148                                                    00:02:18
                        282183                                                    00:02:18
                        738184                                                    00:02:16
                        875110                                                    00:02:15
                        752122                                                    00:02:15
                        657114                                                    00:02:14
                        113141                                                    00:02:12
                        360187                                                    00:02:11
                        970129                                                    00:02:07
                        249101                                                    00:02:07
                        888106                                                    00:02:07
                        373149                                                    00:02:05
                        650117                                                    00:02:05
                        233158                                                    00:02:04
                        714136                                                    00:02:04
                        702155                                                    00:02:04
                        632180                                                    00:02:02
                        396199                                                    00:02:01
                        614102                                                    00:01:59
                        111196                                                    00:01:57
                        829177                                                    00:01:57
                        312130                                                    00:01:56
                        867123                                                    00:01:55
                        731150                                                    00:01:54
                        978138                                                    00:01:54
                        323171                                                    00:01:52
                        914175                                                    00:01:52
                        312157                                                    00:01:51
                        186113                                                    00:01:48
                        785178                                                    00:01:42
                        570116                                                    00:01:39
                        199127                                                    00:01:37
                        693105                                                    00:01:37
                        145153                                                    00:01:37
                        316186                                                    00:01:36
                        770185                                                    00:01:36
                        683126                                                    00:01:35
                        371167                                                    00:01:33
                        338176                                                    00:01:30
                        803100                                                    00:01:27
                        115115                                                    00:01:27
                        529140                                                    00:01:25
                        925120                                                    00:01:22
                        150144                                                    00:01:21
                        867160                                                    00:01:20
                        647182                                                    00:01:19
                        866146                                                    00:01:19
                        372132                                                    00:01:16
                        547147                                                    00:01:15
                        139193                                                    00:01:15
                        833121                                                    00:01:14
                        994181                                                    00:01:12
                        417134                                                    00:01:11
                        486125                                                    00:01:11
                        199195                                                    00:01:06
                        501133                                                    00:01:03
                        159152                                                    00:01:00
                        979189                                                    00:00:57
                        992165                                                    00:00:55
                        255124                                                    00:00:54
                        424112                                                    00:00:52
                        939139                                                    00:00:52
                        831191                                                    00:00:52
                        990168                                                    00:00:51
                        668194                                                    00:00:50
                        410154                                                    00:00:47
                        866151                                                    00:00:42
                        629118                                                    00:00:41
                        253143                                                    00:00:39
                        323169                                                    00:00:39
                        380174                                                    00:00:39
                        333192                                                    00:00:38
                        553156                                                    00:00:37
                        347108                                                    00:00:37
                        884135                                                    00:00:35
